title,author,isbn,copies
Mean Girls,Raffarty Whodcoat,557300538-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4805,""status"":""Borrowed""},{""copyNumber"":4625,""status"":""Borrowed""},{""copyNumber"":8056,""status"":""Available""},{""copyNumber"":5692,""status"":""Borrowed""},{""copyNumber"":9766,""status"":""Borrowed""},{""copyNumber"":7413,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8667,""status"":""Borrowed""},{""copyNumber"":7828,""status"":""Available""},{""copyNumber"":5415,""status"":""Borrowed""},{""copyNumber"":8196,""status"":""Borrowed""},{""copyNumber"":6316,""status"":""Borrowed""}]}]"
Knockaround Guys,Gerri Wilmott,133675697-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7944,""status"":""Borrowed""},{""copyNumber"":3164,""status"":""Borrowed""},{""copyNumber"":3399,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5383,""status"":""Borrowed""},{""copyNumber"":1559,""status"":""Borrowed""},{""copyNumber"":2687,""status"":""Borrowed""}]}]"
Rude Boy,Iona Vicioso,578053447-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5295,""status"":""Available""},{""copyNumber"":3865,""status"":""Available""},{""copyNumber"":4980,""status"":""Available""},{""copyNumber"":8490,""status"":""Borrowed""},{""copyNumber"":5563,""status"":""Borrowed""}]}]"
"Midsummer Night's Dream, A",Forbes Brimman,674688813-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8101,""status"":""Borrowed""}]}]"
"Long Dark Hall, The",Gennie Attwoul,235182277-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2668,""status"":""Available""},{""copyNumber"":2947,""status"":""Available""},{""copyNumber"":1968,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9197,""status"":""Available""},{""copyNumber"":4356,""status"":""Borrowed""},{""copyNumber"":6590,""status"":""Available""},{""copyNumber"":6959,""status"":""Borrowed""},{""copyNumber"":4640,""status"":""Available""}]}]"
"Cruel Romance, A (Zhestokij Romans)",Hastie Bernade,693699430-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9467,""status"":""Available""}]}]"
May in the Summer,Kalina Geram,219884035-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6352,""status"":""Available""},{""copyNumber"":6629,""status"":""Available""},{""copyNumber"":8153,""status"":""Available""},{""copyNumber"":1048,""status"":""Borrowed""},{""copyNumber"":7350,""status"":""Borrowed""}]}]"
Klown: The Movie (Klovn),Hubert Doxsey,290257680-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6056,""status"":""Borrowed""},{""copyNumber"":4105,""status"":""Available""},{""copyNumber"":2799,""status"":""Borrowed""},{""copyNumber"":1534,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9303,""status"":""Borrowed""}]}]"
Smashed,Arielle Giacoppoli,187904842-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3589,""status"":""Borrowed""},{""copyNumber"":4741,""status"":""Borrowed""},{""copyNumber"":6890,""status"":""Borrowed""},{""copyNumber"":3385,""status"":""Available""},{""copyNumber"":3828,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6816,""status"":""Borrowed""},{""copyNumber"":8493,""status"":""Available""},{""copyNumber"":3986,""status"":""Borrowed""}]}]"
Fanboys,Lynn Over,889443350-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8984,""status"":""Available""}]}]"
5 Days of War,Nolan Instone,541586110-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4236,""status"":""Borrowed""},{""copyNumber"":1062,""status"":""Available""},{""copyNumber"":6114,""status"":""Borrowed""},{""copyNumber"":4128,""status"":""Available""},{""copyNumber"":1166,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4762,""status"":""Available""}]}]"
"Girl from Jones Beach, The",Jordana Edmonds,722994879-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5426,""status"":""Available""},{""copyNumber"":6107,""status"":""Borrowed""},{""copyNumber"":1810,""status"":""Borrowed""},{""copyNumber"":2619,""status"":""Available""},{""copyNumber"":4311,""status"":""Available""}]}]"
Dead Souls,Odo Jenney,270071250-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4564,""status"":""Available""},{""copyNumber"":1521,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7794,""status"":""Borrowed""},{""copyNumber"":6167,""status"":""Available""},{""copyNumber"":5475,""status"":""Available""},{""copyNumber"":3558,""status"":""Borrowed""},{""copyNumber"":8697,""status"":""Borrowed""},{""copyNumber"":6389,""status"":""Borrowed""}]}]"
"Crew, The",Margarita Prendiville,659383932-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8007,""status"":""Available""},{""copyNumber"":2643,""status"":""Borrowed""},{""copyNumber"":2329,""status"":""Available""}]}]"
Dr. Giggles,Billy Feldstern,573165348-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9310,""status"":""Borrowed""}]}]"
Massacre at Central High,Pansie Chasteney,983378499-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4716,""status"":""Borrowed""},{""copyNumber"":2933,""status"":""Available""},{""copyNumber"":7015,""status"":""Borrowed""}]}]"
Millennium Actress (Sennen joyû),Trixy Robjohns,030254132-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5877,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3500,""status"":""Borrowed""},{""copyNumber"":6340,""status"":""Available""},{""copyNumber"":4776,""status"":""Available""},{""copyNumber"":6126,""status"":""Available""},{""copyNumber"":9121,""status"":""Available""}]}]"
"Lady from Shanghai, The",Mycah Sloegrave,668960415-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1913,""status"":""Available""},{""copyNumber"":7070,""status"":""Available""}]}]"
Men at Work,Guthry Agron,975858314-X,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4622,""status"":""Available""},{""copyNumber"":4444,""status"":""Available""},{""copyNumber"":9231,""status"":""Borrowed""},{""copyNumber"":8819,""status"":""Available""},{""copyNumber"":8799,""status"":""Available""},{""copyNumber"":9907,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7649,""status"":""Borrowed""},{""copyNumber"":6176,""status"":""Borrowed""},{""copyNumber"":2971,""status"":""Borrowed""},{""copyNumber"":5531,""status"":""Borrowed""},{""copyNumber"":8444,""status"":""Borrowed""}]}]"
Back Street,Kenton Bonus,431678749-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4764,""status"":""Available""},{""copyNumber"":1340,""status"":""Borrowed""},{""copyNumber"":7008,""status"":""Available""},{""copyNumber"":6485,""status"":""Available""}]}]"
Needful Things,Taddeusz Leachman,905239757-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4292,""status"":""Available""},{""copyNumber"":5900,""status"":""Borrowed""},{""copyNumber"":5128,""status"":""Borrowed""},{""copyNumber"":9166,""status"":""Borrowed""}]}]"
"Inbetweeners Movie, The",Connie Binden,476383006-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9912,""status"":""Borrowed""},{""copyNumber"":5936,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1287,""status"":""Borrowed""},{""copyNumber"":7532,""status"":""Borrowed""},{""copyNumber"":3867,""status"":""Available""},{""copyNumber"":2746,""status"":""Borrowed""},{""copyNumber"":7407,""status"":""Borrowed""}]}]"
Halloween,Levy Wink,918774024-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9198,""status"":""Available""},{""copyNumber"":9976,""status"":""Borrowed""}]}]"
Monkey Business,Stacy Drejer,760636680-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5887,""status"":""Borrowed""},{""copyNumber"":7770,""status"":""Borrowed""},{""copyNumber"":3154,""status"":""Borrowed""},{""copyNumber"":3514,""status"":""Available""},{""copyNumber"":5036,""status"":""Available""},{""copyNumber"":7286,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3280,""status"":""Borrowed""},{""copyNumber"":9687,""status"":""Borrowed""},{""copyNumber"":8250,""status"":""Available""}]}]"
Noam Chomsky: Distorted Morality,Flore Buzine,831720367-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4280,""status"":""Available""},{""copyNumber"":2312,""status"":""Available""}]}]"
U.S. Seals,Andi Di Baudi,414886740-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5298,""status"":""Available""},{""copyNumber"":6567,""status"":""Borrowed""},{""copyNumber"":6891,""status"":""Available""},{""copyNumber"":5725,""status"":""Borrowed""},{""copyNumber"":8088,""status"":""Borrowed""},{""copyNumber"":8259,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2717,""status"":""Available""},{""copyNumber"":9444,""status"":""Borrowed""},{""copyNumber"":6792,""status"":""Available""}]}]"
It's Alive III: Island of the Alive,Betty Krollman,156681101-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6102,""status"":""Borrowed""},{""copyNumber"":8525,""status"":""Available""},{""copyNumber"":2857,""status"":""Borrowed""},{""copyNumber"":5287,""status"":""Borrowed""},{""copyNumber"":8089,""status"":""Borrowed""},{""copyNumber"":8598,""status"":""Available""}]}]"
Chinese Zodiac (Armour of God III) (CZ12),Diana Mattioni,660016644-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7583,""status"":""Available""}]}]"
"Fallen Sparrow, The",Vincenty Bifield,710097625-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9813,""status"":""Available""},{""copyNumber"":8619,""status"":""Borrowed""},{""copyNumber"":2642,""status"":""Available""},{""copyNumber"":7389,""status"":""Borrowed""},{""copyNumber"":9250,""status"":""Borrowed""},{""copyNumber"":5429,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7700,""status"":""Available""}]}]"
Pauly Shore Is Dead,Jolie Gerrish,053562351-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8599,""status"":""Borrowed""},{""copyNumber"":9106,""status"":""Available""},{""copyNumber"":6049,""status"":""Borrowed""},{""copyNumber"":9004,""status"":""Borrowed""},{""copyNumber"":7798,""status"":""Available""}]}]"
Pretty Cool,Pren Manssuer,322031729-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9164,""status"":""Available""},{""copyNumber"":2178,""status"":""Available""},{""copyNumber"":1988,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8415,""status"":""Borrowed""},{""copyNumber"":9399,""status"":""Available""},{""copyNumber"":5966,""status"":""Available""},{""copyNumber"":6233,""status"":""Available""},{""copyNumber"":9823,""status"":""Borrowed""},{""copyNumber"":7295,""status"":""Available""}]}]"
Downloaded,Lacee Hakking,371622963-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4014,""status"":""Available""},{""copyNumber"":4734,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2900,""status"":""Available""},{""copyNumber"":1009,""status"":""Available""},{""copyNumber"":2465,""status"":""Borrowed""}]}]"
Lila Says (Lila dit ça),Larissa Dutnall,095524912-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3357,""status"":""Available""},{""copyNumber"":2399,""status"":""Available""},{""copyNumber"":7282,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9364,""status"":""Borrowed""}]}]"
Freejack,Breanne Wilfing,835405218-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7139,""status"":""Borrowed""},{""copyNumber"":9426,""status"":""Borrowed""},{""copyNumber"":2648,""status"":""Borrowed""},{""copyNumber"":4460,""status"":""Borrowed""},{""copyNumber"":3194,""status"":""Borrowed""},{""copyNumber"":3316,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9926,""status"":""Available""},{""copyNumber"":7886,""status"":""Available""},{""copyNumber"":7714,""status"":""Borrowed""},{""copyNumber"":2173,""status"":""Borrowed""},{""copyNumber"":3582,""status"":""Borrowed""},{""copyNumber"":9753,""status"":""Borrowed""}]}]"
Frenchman's Creek,Dotti Carslake,960671317-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3803,""status"":""Borrowed""},{""copyNumber"":3918,""status"":""Borrowed""},{""copyNumber"":3132,""status"":""Available""}]}]"
"Musketeer, The",Donnie Kinchington,880403935-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2903,""status"":""Borrowed""},{""copyNumber"":8973,""status"":""Borrowed""},{""copyNumber"":2654,""status"":""Available""},{""copyNumber"":7336,""status"":""Borrowed""},{""copyNumber"":2720,""status"":""Borrowed""},{""copyNumber"":2180,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6528,""status"":""Borrowed""},{""copyNumber"":6405,""status"":""Borrowed""},{""copyNumber"":6105,""status"":""Borrowed""},{""copyNumber"":2865,""status"":""Available""},{""copyNumber"":4650,""status"":""Borrowed""}]}]"
Spirit: Stallion of the Cimarron,Goldarina Tudge,021811344-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4154,""status"":""Available""}]}]"
The Army,Tony Dearing,335285022-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9158,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4104,""status"":""Borrowed""},{""copyNumber"":3763,""status"":""Borrowed""},{""copyNumber"":3735,""status"":""Borrowed""}]}]"
Top Secret!,Agata Dodsley,445917263-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4185,""status"":""Available""},{""copyNumber"":5783,""status"":""Borrowed""},{""copyNumber"":8687,""status"":""Available""},{""copyNumber"":3397,""status"":""Borrowed""},{""copyNumber"":5900,""status"":""Available""},{""copyNumber"":9580,""status"":""Available""}]}]"
Bellflower,Sherm Woollin,081585714-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7114,""status"":""Borrowed""},{""copyNumber"":8456,""status"":""Borrowed""},{""copyNumber"":4841,""status"":""Available""},{""copyNumber"":2223,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1542,""status"":""Available""},{""copyNumber"":6850,""status"":""Borrowed""},{""copyNumber"":5067,""status"":""Borrowed""},{""copyNumber"":6588,""status"":""Borrowed""},{""copyNumber"":3073,""status"":""Borrowed""}]}]"
Altiplano,Kissiah Clayworth,880477868-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2565,""status"":""Borrowed""},{""copyNumber"":5313,""status"":""Borrowed""},{""copyNumber"":8165,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3292,""status"":""Available""}]}]"
Man with the Screaming Brain,Tabbie Rowter,862119236-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9800,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5888,""status"":""Borrowed""},{""copyNumber"":4962,""status"":""Available""},{""copyNumber"":1014,""status"":""Borrowed""},{""copyNumber"":3213,""status"":""Borrowed""}]}]"
Happy-Go-Lucky,Cleavland Rosenbush,859971332-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8331,""status"":""Available""}]}]"
Cold Storage,Cthrine Brydson,990206983-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8545,""status"":""Available""},{""copyNumber"":8001,""status"":""Available""},{""copyNumber"":7045,""status"":""Available""},{""copyNumber"":3297,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6927,""status"":""Available""},{""copyNumber"":7318,""status"":""Borrowed""}]}]"
Marvin Gaye: What's Going On,Zuzana Elix,493751608-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9159,""status"":""Borrowed""},{""copyNumber"":4743,""status"":""Borrowed""},{""copyNumber"":9797,""status"":""Available""},{""copyNumber"":3669,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3812,""status"":""Available""},{""copyNumber"":1615,""status"":""Available""}]}]"
Raising Victor Vargas,Jeffry Gundry,687779962-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1767,""status"":""Borrowed""},{""copyNumber"":5649,""status"":""Borrowed""},{""copyNumber"":9427,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9713,""status"":""Borrowed""},{""copyNumber"":7200,""status"":""Available""},{""copyNumber"":1469,""status"":""Borrowed""},{""copyNumber"":2936,""status"":""Available""},{""copyNumber"":7656,""status"":""Borrowed""}]}]"
"Street with No Name, The",Turner Dobing,749721732-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8671,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1975,""status"":""Borrowed""},{""copyNumber"":8112,""status"":""Available""},{""copyNumber"":5193,""status"":""Available""},{""copyNumber"":3119,""status"":""Borrowed""},{""copyNumber"":6148,""status"":""Available""},{""copyNumber"":3960,""status"":""Borrowed""}]}]"
Summer Stock,Genevra Ivan,313048237-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9137,""status"":""Available""},{""copyNumber"":9557,""status"":""Available""},{""copyNumber"":2941,""status"":""Available""},{""copyNumber"":7737,""status"":""Borrowed""},{""copyNumber"":7371,""status"":""Borrowed""},{""copyNumber"":8598,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3001,""status"":""Borrowed""},{""copyNumber"":5763,""status"":""Available""}]}]"
